,fighter2,win_fighter2,lose_fighter2,draw_fighter2,nc_fighter2,reach_fighter2,SLpM_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,Sub_Avg_fighter2,win%_fighter2
4153,Barb Honchak,10,5,0,0,"65""",4.04,4.67,66.0,0.0,0.0,1.3,66.666664
1739,Bart Palaszewski,35,17,0,0,"70""",2.67,3.97,57.0,0.65,31.0,0.5,67.30769000000001
3119,Bartosz Fabinski,14,3,0,0,"75""",2.22,1.35,53.0,7.17,70.0,0.0,82.35294
2977,Bec Rawlings,7,8,0,0,"64""",4.48,5.66,57.0,0.71,40.0,0.4,46.666668
56,Belal Muhammad,14,2,0,0,"72""",4.63,3.94,60.0,2.48,39.0,0.2,87.5
264,Ben Earwood,12,3,0,0,,0.5,0.2,33.0,3.0,100.0,0.0,80.0
3160,Ben Nguyen,17,7,0,0,"65""",3.82,3.3,54.0,0.33,33.0,1.3,70.833336
2142,Ben Rothwell,36,10,0,0,"78""",2.89,3.92,46.0,0.84,36.0,0.4,78.26087
1025,Ben Saunders,22,11,2,0,"77""",3.19,3.58,51.0,0.22,40.0,1.0,62.85714300000001
2534,Beneil Dariush,15,4,1,0,"72""",3.92,2.64,61.0,1.47,30.0,0.8,75.0
304,Benji Radach,21,7,0,1,,2.62,2.31,51.0,1.06,41.0,0.4,72.413795
2367,Benny Alloway,13,6,0,0,"75""",1.28,1.9,59.0,0.62,50.0,0.0,68.42105
1667,Benson Henderson,23,5,0,0,"70""",2.93,1.79,63.0,2.4,45.0,0.8,82.14286
1856,Bernardo Magalhaes,11,3,0,0,"65""",1.8,3.37,68.0,0.0,0.0,0.5,78.57143
3296,Bethe Correia,10,3,1,0,"64""",4.34,3.87,59.0,0.48,25.0,0.0,71.42857
4146,Bharat Kandare,5,3,0,0,"72""",0.7,1.88,72.0,0.0,0.0,0.0,62.5
471,Bill Mahood,20,7,1,1,,1.54,3.59,17.0,0.0,0.0,3.9,68.965515
832,Billy Miles,2,2,0,0,,0.0,1.25,33.0,0.0,0.0,0.0,50.0
4441,Blagoy Ivanov,16,2,0,1,"73""",2.04,4.4,55.0,0.0,0.0,0.0,84.210526
2442,Bobby Green,24,8,1,0,"71""",5.0,3.87,63.0,1.03,25.0,0.2,72.72726999999999
255,Bobby Hoffman,36,10,1,2,,2.02,1.32,19.0,1.17,50.0,1.2,73.46939
4586,Bobby Moffett,14,3,0,0,"74""",3.64,2.76,48.0,3.27,100.0,2.2,82.35294
65,Bobby Nash,8,4,0,0,"74""",3.42,3.95,51.0,2.37,33.0,1.6,66.666664
2207,Bobby Voelker,24,12,0,0,"75""",4.01,5.84,42.0,1.04,50.0,0.0,66.666664
3715,Bojan Mihajlovic,10,6,0,0,"73""",1.23,5.95,47.0,0.0,0.0,0.0,62.5
3919,Bojan Velickovic,15,6,1,0,"76""",2.18,2.31,57.0,0.67,25.0,0.5,68.181816
1341,Brad Blackburn,18,13,1,1,"73""",4.55,3.59,65.0,0.93,50.0,0.7,54.54545600000001
551,Brad Imes,13,7,0,0,,2.73,4.24,49.0,1.72,71.0,1.0,65.0
4420,Brad Katona,8,0,0,0,"65""",4.73,0.93,78.0,2.0,28.0,0.0,100.0
905,Brad Morris,10,6,0,0,,0.5,6.95,27.0,0.0,0.0,0.0,62.5
1745,Brad Pickett,26,14,0,0,"68""",3.02,4.63,55.0,2.47,44.0,0.4,65.0
41,Brad Tavares,17,6,0,0,"74""",3.02,2.73,55.0,1.04,27.0,0.0,73.91304000000001
101,Bradley Scott,12,6,0,0,"76""",3.52,4.31,57.0,0.32,15.0,0.7,66.666664
499,Branden Lee Hinkle,15,11,0,1,,2.61,3.91,26.0,4.34,57.0,4.3,55.55555699999999
4267,Brandon Davis,9,5,0,0,"72""",4.97,4.36,64.0,0.22,33.0,0.0,64.28571
3876,Brandon Moreno,14,5,0,0,"70""",2.65,3.02,64.0,2.71,41.0,0.9,73.68421
2452,Brandon Thatch,11,5,0,0,"74""",2.7,3.63,52.0,1.36,66.0,0.7,68.75
493,Brandon Vera,12,7,0,1,"76""",3.03,2.81,52.0,0.7,53.0,0.2,60.0
1129,Brandon Wolff,7,5,0,0,,0.47,10.91,19.0,0.0,0.0,0.0,58.33333199999999
2115,Brendan Loughnane,5,2,0,0,"71""",5.0,3.6,66.0,0.0,0.0,0.0,71.42857
3563,Brendan O'Reilly,6,3,0,1,"69""",1.9,2.77,39.0,2.22,43.0,0.6,60.0
1241,Brendan Schaub,11,5,0,0,"78""",2.92,2.22,57.0,2.32,46.0,0.4,68.75
34,Brett Johns,15,2,0,0,"71""",3.41,4.74,55.0,3.72,48.0,0.5,88.23529
1557,Brian Bowles,10,3,0,0,"70""",2.36,2.98,64.0,1.39,70.0,1.4,76.92308
3888,Brian Camozzi,7,5,0,0,"78""",3.15,6.39,54.0,0.0,0.0,0.7,58.33333199999999
1963,Brian Ebersole,51,17,1,1,"73""",2.32,2.14,56.0,1.7,23.0,0.1,72.85714
